"Time","Node 2 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/14/2013 10:23","0.66"
"08/14/2013 10:40","0.66"
"08/14/2013 10:56","0.74"
"08/14/2013 11:12","0.58"
"08/14/2013 11:28","0.66"
"08/14/2013 11:44","0.66"
"08/14/2013 12:00","0.66"
"08/14/2013 12:16","0.58"
"08/14/2013 12:33","0.58"
"08/14/2013 12:49","0.58"
"08/14/2013 13:05","0.50"
"08/14/2013 13:21","1.23"
"08/14/2013 13:37","0.34"
"08/14/2013 13:53","0.42"
"08/14/2013 14:10","0.34"
"08/14/2013 16:19","0.50"
"08/14/2013 16:35","0.50"
"08/14/2013 16:51","0.50"
"08/14/2013 17:07","0.58"
"08/14/2013 17:23","0.50"
"08/14/2013 17:39","0.50"
"08/14/2013 17:56","0.50"
"08/14/2013 19:00","0.50"
"08/14/2013 19:16","0.58"
"08/14/2013 19:32","0.58"
"08/14/2013 19:49","0.58"
"08/14/2013 20:05","0.58"
"08/14/2013 20:37","0.66"
"08/14/2013 20:53","0.58"
