Time,Node 3 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)
07/31/2013 10:41,0.5
07/31/2013 10:57,0.42
07/31/2013 11:13,0.34
07/31/2013 11:30,0.5
07/31/2013 11:46,0.26
07/31/2013 12:02,0.42
07/31/2013 12:18,0.34
07/31/2013 12:34,0.26
07/31/2013 12:50,0.26
07/31/2013 13:07,0.34
07/31/2013 13:23,0.26
07/31/2013 13:39,0.1
07/31/2013 13:55,0.26
07/31/2013 17:09,0.1
07/31/2013 17:25,0.1
07/31/2013 17:41,0.1
07/31/2013 17:57,0.1
07/31/2013 18:13,-0.06
07/31/2013 18:46,0.1
07/31/2013 19:18,0.1
07/31/2013 19:34,0.1
07/31/2013 19:50,0.1
,0.230
