"Time","Node 3 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/08/2013 09:44","0.02"
"08/08/2013 10:01","0.02"
"08/08/2013 10:17","0.02"
"08/08/2013 10:33","0.10"
"08/08/2013 10:49","0.10"
"08/08/2013 11:05","0.10"
"08/08/2013 11:21","0.10"
"08/08/2013 11:37","0.10"
"08/08/2013 11:54","0.10"
"08/08/2013 12:10","0.10"
"08/08/2013 12:26","0.10"
"08/08/2013 12:42","0.18"
"08/08/2013 12:58","-0.06"
"08/08/2013 13:14","0.18"
"08/08/2013 13:30","0.10"
"08/08/2013 13:47","0.18"
"08/08/2013 14:03","0.26"
"08/08/2013 14:19","0.18"
