"Time","Node 3 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/06/2013 10:23","0.10"
"08/06/2013 10:39","0.02"
"08/06/2013 10:55","-0.06"
"08/06/2013 11:11","0.10"
"08/06/2013 11:27","-0.06"
"08/06/2013 11:44","0.02"
"08/06/2013 12:00","-0.06"
"08/06/2013 12:16","-0.22"
"08/06/2013 12:32","0.02"
"08/06/2013 15:30","0.02"
"08/06/2013 15:46","0.02"
"08/06/2013 16:02","0.02"
"08/06/2013 16:18","0.10"
"08/06/2013 16:34","0.02"
"08/06/2013 16:50","0.02"
"08/06/2013 17:07","0.10"
"08/06/2013 17:23","0.02"
"08/06/2013 17:39","0.02"
"08/06/2013 17:55","0.02"
"08/06/2013 18:11","0.02"
"08/06/2013 18:27","0.02"
"08/06/2013 18:43","0.02"
