Time,Node 3 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)
07/31/2013 10:41,0.58
07/31/2013 10:57,0.58
07/31/2013 11:13,0.66
07/31/2013 11:30,0.42
07/31/2013 11:46,0.66
07/31/2013 12:02,0.58
07/31/2013 12:18,0.66
07/31/2013 12:34,0.5
07/31/2013 12:50,0.66
07/31/2013 13:07,0.58
07/31/2013 13:23,0.82
07/31/2013 13:39,0.5
07/31/2013 13:55,0.66
07/31/2013 17:09,0.5
07/31/2013 17:25,0.1
07/31/2013 17:41,0.34
07/31/2013 17:57,0.42
07/31/2013 18:13,0.5
07/31/2013 18:46,0.5
07/31/2013 19:18,0.58
07/31/2013 19:34,0.58
07/31/2013 19:50,0.58
,0.544
