"Time","Node 3 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/08/2013 09:44","-0.46"
"08/08/2013 10:01","-0.46"
"08/08/2013 10:17","-0.54"
"08/08/2013 10:33","-0.46"
"08/08/2013 10:49","-0.46"
"08/08/2013 11:05","-0.69"
"08/08/2013 11:21","-0.46"
"08/08/2013 11:37","-0.46"
"08/08/2013 11:54","-0.77"
"08/08/2013 12:10","-0.46"
"08/08/2013 12:26","-0.46"
"08/08/2013 12:42","-0.30"
"08/08/2013 12:58","-0.14"
"08/08/2013 13:14","-0.38"
"08/08/2013 13:30","-0.38"
"08/08/2013 13:47","-0.38"
"08/08/2013 14:03","-0.30"
"08/08/2013 14:19","-0.46"
