"Time","Node 2 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/27/2013 10:00","7.74"
"08/27/2013 10:16","7.74"
"08/27/2013 10:48","7.74"
"08/27/2013 12:09","7.64"
"08/27/2013 12:25","7.74"
"08/27/2013 12:41","7.74"
"08/27/2013 12:57","7.74"
"08/27/2013 13:13","7.74"
"08/27/2013 13:29","7.74"
"08/27/2013 13:46","7.83"
"08/27/2013 16:43","7.74"
"08/27/2013 16:59","7.74"
"08/27/2013 17:16","7.83"
"08/27/2013 17:32","7.83"
"08/27/2013 17:48","7.74"
"08/27/2013 18:04","7.74"
"08/27/2013 18:20","7.74"
"08/27/2013 18:36","7.74"
"08/27/2013 18:52","7.74"
"08/27/2013 19:09","7.74"
"08/27/2013 19:25","7.74"
"08/27/2013 19:41","7.74"
