"Time","Node 4 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/08/2013 09:43","1.32"
"08/08/2013 09:59","1.23"
"08/08/2013 10:15","1.23"
"08/08/2013 10:31","1.23"
"08/08/2013 10:47","1.23"
"08/08/2013 11:03","1.23"
"08/08/2013 11:20","1.23"
"08/08/2013 11:36","1.23"
"08/08/2013 11:52","1.23"
"08/08/2013 12:08","1.32"
"08/08/2013 12:24","1.23"
"08/08/2013 12:40","1.48"
"08/08/2013 12:56","1.40"
"08/08/2013 13:13","1.32"
"08/08/2013 13:29","1.40"
"08/08/2013 13:45","1.40"
"08/08/2013 14:17","1.48"
