"Time","Node 2 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/03/2013 12:18","5.58"
"08/03/2013 12:34","5.58"
"08/03/2013 12:50","5.67"
"08/03/2013 13:07","5.67"
"08/03/2013 13:23","5.76"
"08/03/2013 13:39","5.76"
"08/03/2013 13:55","5.76"
"08/03/2013 14:11","5.85"
"08/03/2013 14:27","5.85"
"08/03/2013 14:43","5.94"
"08/03/2013 15:00","5.94"
"08/03/2013 15:16","6.04"
"08/03/2013 16:53","6.31"
"08/03/2013 17:09","6.31"
"08/03/2013 17:25","6.31"
"08/03/2013 17:41","6.41"
"08/03/2013 17:57","6.41"
"08/03/2013 18:13","6.50"
"08/03/2013 18:29","6.50"
"08/03/2013 18:46","6.50"
"08/03/2013 19:02","6.50"
"08/03/2013 19:18","6.50"
"08/03/2013 19:34","6.50"
"08/03/2013 19:50","6.59"
