"Time","Node 3 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/05/2013 10:10","4.05"
"08/05/2013 10:26","4.40"
"08/05/2013 10:42","4.58"
"08/05/2013 10:58","4.85"
"08/05/2013 11:14","5.21"
"08/05/2013 11:30","5.39"
"08/05/2013 11:47","5.85"
"08/05/2013 12:03","6.13"
"08/05/2013 12:19","6.13"
"08/05/2013 12:35","6.78"
"08/05/2013 12:51","6.69"
"08/05/2013 13:07","6.69"
"08/05/2013 13:23","6.88"
"08/05/2013 13:40","7.07"
"08/05/2013 13:56","7.07"
"08/05/2013 14:12","-0.85"
"08/05/2013 14:28","-0.54"
