"Time","Node 2 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/07/2013 10:13","5.76"
"08/07/2013 10:29","5.76"
"08/07/2013 10:45","5.76"
"08/07/2013 11:01","5.85"
"08/07/2013 11:17","5.85"
"08/07/2013 11:33","5.85"
"08/07/2013 11:50","5.85"
"08/07/2013 12:06","5.94"
"08/07/2013 12:22","5.94"
"08/07/2013 12:38","5.94"
"08/07/2013 12:54","5.94"
"08/07/2013 13:10","5.94"
"08/07/2013 13:26","5.94"
"08/07/2013 13:43","5.94"
"08/07/2013 13:59","6.04"
"08/07/2013 18:33","6.22"
"08/07/2013 18:49","6.22"
"08/07/2013 19:06","6.22"
"08/07/2013 19:22","6.22"
