"Time","Node 5 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/03/2013 12:16","3.96"
"08/03/2013 12:32","3.96"
"08/03/2013 12:48","3.96"
"08/03/2013 13:04","4.22"
"08/03/2013 13:20","3.87"
"08/03/2013 13:36","3.87"
"08/03/2013 13:53","3.87"
"08/03/2013 14:09","3.52"
"08/03/2013 14:25","3.43"
"08/03/2013 14:41","3.35"
"08/03/2013 14:57","3.17"
"08/03/2013 15:16","3.09"
"08/03/2013 15:17","3.00"
"08/03/2013 15:18","3.17"
"08/03/2013 15:19","3.09"
"08/03/2013 15:20","3.09"
"08/03/2013 15:21","3.09"
"08/03/2013 15:22","3.09"
"08/03/2013 15:24","3.09"
"08/03/2013 15:25","3.35"
"08/03/2013 15:26","3.09"
"08/03/2013 15:27","3.26"
"08/03/2013 15:28","3.17"
"08/03/2013 15:29","3.09"
"08/03/2013 15:30","3.17"
"08/03/2013 16:50","3.00"
"08/03/2013 17:06","3.09"
"08/03/2013 17:22","3.26"
"08/03/2013 17:38","3.17"
"08/03/2013 17:55","3.26"
"08/03/2013 18:11","3.17"
"08/03/2013 18:27","3.17"
"08/03/2013 18:43","3.17"
"08/03/2013 18:59","3.09"
"08/03/2013 19:15","3.17"
"08/03/2013 19:31","3.26"
"08/03/2013 19:48","3.26"
"08/03/2013 20:04","3.26"
