"Time","Node 5 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/27/2013 10:00","-2.38"
"08/27/2013 10:16","-2.53"
"08/27/2013 10:48","-2.53"
"08/27/2013 12:09","-2.23"
"08/27/2013 12:25","-2.08"
"08/27/2013 12:41","-2.08"
"08/27/2013 12:58","-2.08"
"08/27/2013 13:14","-2.15"
"08/27/2013 13:30","-1.93"
"08/27/2013 13:46","-1.85"
"08/27/2013 16:44","-2.83"
"08/27/2013 17:00","-2.83"
"08/27/2013 17:16","-2.83"
"08/27/2013 17:32","-2.83"
"08/27/2013 17:48","-2.75"
"08/27/2013 18:04","-2.68"
"08/27/2013 18:20","-2.53"
"08/27/2013 18:37","-2.38"
"08/27/2013 18:53","-2.23"
"08/27/2013 19:09","-2.15"
"08/27/2013 19:25","-2.08"
