"Time","Node 4 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/22/2013 16:32","1.07"
"08/22/2013 16:48","0.99"
"08/22/2013 17:04","0.99"
"08/22/2013 17:20","1.07"
"08/22/2013 17:37","0.99"
"08/22/2013 17:53","0.99"
"08/22/2013 18:09","0.99"
"08/22/2013 18:25","0.99"
"08/22/2013 18:41","0.99"
"08/22/2013 18:57","0.99"
"08/22/2013 19:13","0.99"
"08/22/2013 19:30","0.99"
"08/22/2013 19:46","0.99"
"08/22/2013 20:02","0.99"
"08/22/2013 20:18","0.99"
"08/23/2013 00:36","1.07"
"08/23/2013 01:09","1.07"
"08/23/2013 01:25","1.07"
"08/23/2013 01:41","1.07"
