"Time","Node 4 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/10/2013 10:09","3.17"
"08/10/2013 10:25","3.17"
"08/10/2013 10:41","3.09"
"08/10/2013 10:57","3.17"
"08/10/2013 11:13","3.52"
"08/10/2013 11:30","3.26"
"08/10/2013 11:46","3.09"
"08/10/2013 12:02","3.00"
"08/10/2013 12:18","3.00"
"08/10/2013 12:34","3.00"
"08/10/2013 12:50","3.00"
"08/10/2013 13:07","3.00"
"08/10/2013 13:23","3.09"
"08/10/2013 13:39","3.17"
"08/10/2013 13:55","3.17"
"08/10/2013 14:11","3.35"
"08/10/2013 14:27","3.17"
"08/10/2013 14:43","3.17"
"08/10/2013 15:00","3.09"
