"Time","Node 4 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/27/2013 10:05","1.98"
"08/27/2013 10:22","1.90"
"08/27/2013 10:38","1.90"
"08/27/2013 11:42","2.23"
"08/27/2013 12:15","1.98"
"08/27/2013 12:31","1.98"
"08/27/2013 12:47","2.15"
"08/27/2013 13:03","2.15"
"08/27/2013 13:19","2.15"
"08/27/2013 13:35","2.07"
"08/27/2013 16:49","2.23"
"08/27/2013 17:05","2.23"
"08/27/2013 17:21","2.23"
"08/27/2013 17:37","2.23"
"08/27/2013 17:54","2.23"
"08/27/2013 18:10","2.23"
"08/27/2013 18:26","2.32"
"08/27/2013 18:42","2.23"
"08/27/2013 18:58","2.23"
"08/27/2013 19:14","2.23"
