"Time","Node 5 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/09/2013 10:20","2.40"
"08/09/2013 11:25","2.32"
"08/09/2013 11:41","2.49"
"08/09/2013 11:57","2.32"
"08/09/2013 12:13","2.32"
"08/09/2013 12:29","2.32"
"08/09/2013 12:45","2.40"
"08/09/2013 13:02","2.40"
"08/09/2013 16:48","2.40"
"08/09/2013 17:04","2.40"
"08/09/2013 17:20","2.40"
"08/09/2013 17:36","2.40"
"08/09/2013 17:52","2.40"
"08/09/2013 18:08","2.40"
"08/09/2013 18:25","2.40"
"08/09/2013 18:41","2.40"
"08/09/2013 18:57","2.40"
"08/09/2013 19:13","2.40"
"08/09/2013 19:29","2.40"
"08/09/2013 19:45","2.40"
"08/09/2013 20:01","2.40"
"08/09/2013 20:18","2.40"
"08/09/2013 20:34","2.40"
