Time,Node 5 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)
07/31/2013 10:32,2.23
07/31/2013 10:48,2.49
07/31/2013 11:04,2.49
07/31/2013 11:20,2.4
07/31/2013 11:37,2.49
07/31/2013 11:53,2.32
07/31/2013 12:09,2.4
07/31/2013 12:25,2.4
07/31/2013 12:41,2.4
07/31/2013 12:57,2.4
07/31/2013 13:13,2.49
07/31/2013 13:30,2.49
07/31/2013 13:46,2.4
07/31/2013 14:02,2.49
07/31/2013 16:59,2.66
07/31/2013 17:16,2.49
07/31/2013 17:32,2.23
07/31/2013 17:48,2.23
07/31/2013 18:04,2.23
07/31/2013 18:20,2.23
07/31/2013 18:36,2.23
07/31/2013 18:52,2.23
07/31/2013 19:09,2.23
07/31/2013 19:25,2.23
07/31/2013 19:41,2.23
07/31/2013 19:57,2.23
,2.359
