"Time","Node 3 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/22/2013 16:34","-0.69"
"08/22/2013 16:50","-0.61"
"08/22/2013 17:06","-0.61"
"08/22/2013 17:22","-0.61"
"08/22/2013 17:38","-0.61"
"08/22/2013 17:54","-0.61"
"08/22/2013 18:10","-0.61"
"08/22/2013 18:27","-0.61"
"08/22/2013 18:43","-0.54"
"08/22/2013 18:59","-0.54"
"08/22/2013 19:15","-0.54"
"08/22/2013 19:31","-0.54"
"08/22/2013 19:47","-0.54"
"08/22/2013 20:04","-0.54"
"08/22/2013 20:20","-0.54"
"08/23/2013 00:22","-0.38"
"08/23/2013 00:38","-0.38"
