Time,Node 4 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)
07/31/2013 10:40,0.99
07/31/2013 10:56,1.15
07/31/2013 11:12,1.07
07/31/2013 11:28,1.07
07/31/2013 11:44,1.15
07/31/2013 12:00,1.07
07/31/2013 12:16,1.07
07/31/2013 12:32,1.07
07/31/2013 12:49,1.07
07/31/2013 13:05,1.07
07/31/2013 13:21,1.07
07/31/2013 13:37,0.91
07/31/2013 13:53,0.99
07/31/2013 17:07,1.07
07/31/2013 17:23,0.91
07/31/2013 17:39,0.91
07/31/2013 17:55,0.91
07/31/2013 18:11,0.91
07/31/2013 18:28,0.91
07/31/2013 18:44,0.99
07/31/2013 19:00,0.99
07/31/2013 19:16,0.91
07/31/2013 19:32,0.91
07/31/2013 19:48,0.91
,1.003
