"Time","Node 4 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/16/2013 08:14","2.40"
"08/16/2013 08:30","2.40"
"08/16/2013 08:46","2.49"
"08/16/2013 09:18","2.40"
"08/16/2013 09:34","2.49"
"08/16/2013 09:51","2.32"
"08/16/2013 10:07","2.40"
"08/16/2013 10:23","2.40"
"08/16/2013 10:55","2.40"
"08/16/2013 11:11","2.49"
"08/16/2013 11:27","2.40"
"08/16/2013 11:44","2.49"
"08/16/2013 16:18","2.23"
"08/16/2013 16:34","2.49"
"08/16/2013 16:50","2.15"
"08/16/2013 17:06","2.23"
"08/16/2013 17:23","2.07"
"08/16/2013 17:39","2.15"
"08/16/2013 17:55","2.07"
"08/16/2013 18:11","2.07"
"08/16/2013 18:27","2.07"
"08/16/2013 18:43","2.07"
