"Time","Node 5 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/16/2013 08:21","2.49"
"08/16/2013 08:37","2.66"
"08/16/2013 08:53","2.83"
"08/16/2013 09:09","2.66"
"08/16/2013 09:25","2.57"
"08/16/2013 09:41","2.66"
"08/16/2013 09:58","2.57"
"08/16/2013 10:14","2.57"
"08/16/2013 10:30","2.66"
"08/16/2013 11:02","2.66"
"08/16/2013 11:18","2.66"
"08/16/2013 11:34","2.74"
"08/16/2013 16:18","2.83"
"08/16/2013 16:19","2.83"
"08/16/2013 16:20","2.83"
"08/16/2013 16:21","2.83"
"08/16/2013 16:23","2.92"
"08/16/2013 16:24","2.92"
"08/16/2013 16:25","2.92"
"08/16/2013 16:26","3.00"
"08/16/2013 16:27","3.00"
"08/16/2013 16:28","3.00"
"08/16/2013 16:29","3.00"
"08/16/2013 16:30","3.00"
"08/16/2013 16:31","3.00"
"08/16/2013 16:32","3.00"
"08/16/2013 16:33","3.00"
"08/16/2013 16:34","3.00"
"08/16/2013 16:50","2.83"
"08/16/2013 17:06","2.74"
"08/16/2013 17:23","2.74"
"08/16/2013 17:39","2.74"
"08/16/2013 17:55","2.74"
"08/16/2013 18:11","2.74"
"08/16/2013 18:27","2.74"
"08/16/2013 18:43","3.00"
