Time,Node 4 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)
07/31/2013 10:40,2.49
07/31/2013 10:56,2.66
07/31/2013 11:12,2.49
07/31/2013 11:28,2.66
07/31/2013 11:44,2.49
07/31/2013 12:00,2.66
07/31/2013 12:16,3
07/31/2013 12:32,2.49
07/31/2013 12:49,2.49
07/31/2013 13:05,2.49
07/31/2013 13:21,2.49
07/31/2013 13:37,2.4
07/31/2013 13:53,2.49
07/31/2013 17:07,2.74
07/31/2013 17:23,2.32
07/31/2013 17:39,2.23
07/31/2013 17:55,2.23
07/31/2013 18:11,2.23
07/31/2013 18:28,2.23
07/31/2013 18:44,2.23
07/31/2013 19:00,2.23
07/31/2013 19:16,2.23
07/31/2013 19:32,2.07
07/31/2013 19:48,2.07
,2.421
