"Time","Node 2 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/13/2013 09:54","6.59"
"08/13/2013 10:10","6.59"
"08/13/2013 10:27","6.50"
"08/13/2013 10:43","6.50"
"08/13/2013 10:59","6.50"
"08/13/2013 11:15","6.50"
"08/13/2013 11:31","6.50"
"08/13/2013 11:47","6.50"
"08/13/2013 12:03","6.50"
"08/13/2013 12:20","6.50"
"08/13/2013 12:36","6.50"
"08/13/2013 12:52","6.50"
"08/13/2013 16:54","6.31"
"08/13/2013 17:10","6.13"
"08/13/2013 17:26","6.31"
"08/13/2013 17:42","6.31"
"08/13/2013 17:59","6.31"
"08/13/2013 18:15","6.31"
"08/13/2013 18:31","6.22"
"08/13/2013 18:47","6.22"
"08/13/2013 19:03","6.22"
"08/13/2013 19:19","6.22"
"08/13/2013 19:35","6.22"
"08/13/2013 19:52","6.13"
"08/13/2013 20:08","6.13"
"08/13/2013 20:24","6.22"
"08/13/2013 20:40","6.22"
