"Time","Node 2 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/16/2013 08:24","4.13"
"08/16/2013 08:40","4.13"
"08/16/2013 08:57","4.13"
"08/16/2013 09:13","4.22"
"08/16/2013 09:29","4.22"
"08/16/2013 09:45","4.22"
"08/16/2013 10:01","4.22"
"08/16/2013 10:17","4.22"
"08/16/2013 10:33","4.22"
"08/16/2013 10:50","4.22"
"08/16/2013 11:06","4.22"
"08/16/2013 11:22","4.22"
"08/16/2013 11:38","4.22"
"08/16/2013 16:29","4.31"
"08/16/2013 16:45","4.13"
"08/16/2013 17:01","4.31"
"08/16/2013 17:17","4.31"
"08/16/2013 17:33","4.22"
"08/16/2013 17:49","4.31"
"08/16/2013 18:06","4.31"
"08/16/2013 18:22","4.31"
"08/16/2013 18:38","4.31"
"08/16/2013 18:54","4.31"
