"Time","Node 2 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/13/2013 09:54","0.66"
"08/13/2013 10:10","0.66"
"08/13/2013 10:27","0.66"
"08/13/2013 10:43","0.66"
"08/13/2013 10:59","0.66"
"08/13/2013 11:15","0.58"
"08/13/2013 11:31","0.91"
"08/13/2013 11:47","0.58"
"08/13/2013 12:03","0.58"
"08/13/2013 12:20","0.82"
"08/13/2013 12:36","0.58"
"08/13/2013 12:52","0.34"
"08/13/2013 16:54","0.42"
"08/13/2013 17:10","0.42"
"08/13/2013 17:26","0.58"
"08/13/2013 17:42","0.66"
"08/13/2013 17:59","0.58"
"08/13/2013 18:15","0.66"
"08/13/2013 18:31","0.58"
"08/13/2013 18:47","0.50"
"08/13/2013 19:03","0.50"
"08/13/2013 19:19","0.58"
"08/13/2013 19:35","0.58"
"08/13/2013 19:52","0.50"
"08/13/2013 20:08","0.34"
"08/13/2013 20:24","0.50"
"08/13/2013 20:40","0.50"
