"Time","Node 4 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/19/2013 10:30","1.56"
"08/19/2013 10:46","1.48"
"08/19/2013 11:02","1.48"
"08/19/2013 11:18","1.65"
"08/19/2013 11:34","1.65"
"08/19/2013 11:51","1.48"
"08/19/2013 12:07","1.56"
"08/19/2013 12:23","1.40"
"08/19/2013 12:39","1.40"
"08/19/2013 12:55","1.40"
"08/19/2013 16:25","1.23"
"08/19/2013 16:41","1.23"
"08/19/2013 16:57","1.40"
"08/19/2013 17:13","1.23"
"08/19/2013 17:30","1.23"
"08/19/2013 17:46","1.23"
"08/19/2013 18:02","1.23"
"08/19/2013 18:18","1.23"
"08/19/2013 18:34","1.15"
"08/19/2013 18:50","1.15"
"08/19/2013 19:06","1.07"
"08/19/2013 19:23","1.07"
"08/19/2013 19:39","1.07"
"08/19/2013 19:55","1.07"
