"Time","Node 4 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/12/2013 10:51","1.73"
"08/12/2013 11:07","2.15"
"08/12/2013 11:24","1.81"
"08/12/2013 11:40","1.81"
"08/12/2013 11:56","1.81"
"08/12/2013 15:58","1.65"
"08/12/2013 16:14","1.81"
"08/12/2013 16:30","1.81"
"08/12/2013 16:46","1.65"
"08/12/2013 17:03","1.65"
"08/12/2013 17:19","1.56"
"08/12/2013 17:35","1.65"
"08/12/2013 17:51","1.65"
"08/12/2013 18:07","1.65"
"08/12/2013 18:23","1.65"
"08/12/2013 18:39","1.65"
"08/12/2013 18:56","1.65"
"08/12/2013 19:12","1.65"
"08/12/2013 19:28","1.65"
"08/12/2013 19:44","1.65"
"08/12/2013 20:00","1.65"
"08/12/2013 20:16","1.65"
"08/12/2013 20:32","1.65"
"08/12/2013 20:49","1.65"
"08/12/2013 21:05","1.65"
"08/12/2013 21:21","1.73"
"08/12/2013 21:37","1.73"
"08/12/2013 22:58","1.73"
"08/12/2013 23:14","1.73"
"08/12/2013 23:30","1.73"
"08/12/2013 23:46","1.73"
"08/13/2013 00:02","1.73"
