"Time","Node 4 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/14/2013 10:29","2.92"
"08/14/2013 10:45","3.00"
"08/14/2013 11:01","2.83"
"08/14/2013 11:17","2.83"
"08/14/2013 11:34","2.92"
"08/14/2013 11:50","2.92"
"08/14/2013 12:06","2.92"
"08/14/2013 12:22","2.92"
"08/14/2013 12:38","3.00"
"08/14/2013 12:54","2.92"
"08/14/2013 13:10","3.00"
"08/14/2013 13:27","2.83"
"08/14/2013 13:43","3.00"
"08/14/2013 13:59","3.17"
"08/14/2013 16:24","2.92"
"08/14/2013 16:40","2.92"
"08/14/2013 16:56","3.09"
"08/14/2013 17:13","2.92"
"08/14/2013 17:29","2.83"
"08/14/2013 17:45","2.83"
"08/14/2013 18:01","2.83"
"08/14/2013 18:17","2.83"
"08/14/2013 18:33","2.83"
"08/14/2013 18:49","2.83"
"08/14/2013 19:06","2.74"
"08/14/2013 19:22","2.74"
"08/14/2013 19:54","2.74"
"08/14/2013 20:10","3.00"
"08/14/2013 20:26","2.83"
"08/14/2013 20:42","2.83"
"08/14/2013 20:59","2.74"
