"Time","Node 5 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/08/2013 09:51","2.57"
"08/08/2013 10:07","2.57"
"08/08/2013 10:23","2.57"
"08/08/2013 10:39","2.57"
"08/08/2013 10:56","2.57"
"08/08/2013 11:12","2.57"
"08/08/2013 11:28","2.57"
"08/08/2013 11:44","2.66"
"08/08/2013 12:00","2.57"
"08/08/2013 12:16","2.66"
"08/08/2013 12:32","2.66"
"08/08/2013 12:49","3.00"
"08/08/2013 13:05","2.83"
"08/08/2013 13:21","2.66"
"08/08/2013 13:37","2.83"
"08/08/2013 13:53","2.74"
"08/08/2013 14:09","2.66"
