"Time","Node 4 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/19/2013 10:30","1.07"
"08/19/2013 10:46","1.07"
"08/19/2013 11:02","1.07"
"08/19/2013 11:18","1.07"
"08/19/2013 11:34","1.07"
"08/19/2013 11:51","1.07"
"08/19/2013 12:07","1.07"
"08/19/2013 12:23","1.07"
"08/19/2013 12:39","1.07"
"08/19/2013 12:55","1.07"
"08/19/2013 16:25","0.99"
"08/19/2013 16:41","0.99"
"08/19/2013 16:57","0.99"
"08/19/2013 17:13","0.99"
"08/19/2013 17:30","0.99"
"08/19/2013 17:46","0.99"
"08/19/2013 18:02","0.99"
"08/19/2013 18:18","0.99"
"08/19/2013 18:34","0.99"
"08/19/2013 18:50","0.99"
"08/19/2013 19:06","0.99"
"08/19/2013 19:23","0.99"
"08/19/2013 19:39","0.99"
"08/19/2013 19:55","0.99"
