"Time","Node 3 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/22/2013 16:34","0.42"
"08/22/2013 16:50","0.42"
"08/22/2013 17:06","0.18"
"08/22/2013 17:22","0.34"
"08/22/2013 17:38","0.42"
"08/22/2013 17:54","0.26"
"08/22/2013 18:11","0.42"
"08/22/2013 18:27","0.42"
"08/22/2013 18:43","0.42"
"08/22/2013 18:59","0.42"
"08/22/2013 19:15","0.42"
"08/22/2013 19:31","0.42"
"08/22/2013 19:47","0.50"
"08/22/2013 20:04","0.50"
"08/22/2013 20:20","0.50"
"08/23/2013 00:22","0.50"
"08/23/2013 00:38","0.50"
"08/23/2013 00:54","0.50"
"08/23/2013 01:10","0.18"
