"Time","Node 2 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/10/2013 10:20","0.58"
"08/10/2013 10:36","0.50"
"08/10/2013 10:52","0.91"
"08/10/2013 11:08","0.50"
"08/10/2013 11:24","0.50"
"08/10/2013 11:40","0.58"
"08/10/2013 11:57","0.58"
"08/10/2013 12:13","0.58"
"08/10/2013 12:29","0.50"
"08/10/2013 12:45","0.58"
"08/10/2013 13:01","0.58"
"08/10/2013 13:17","0.58"
"08/10/2013 13:33","0.74"
"08/10/2013 13:50","0.42"
"08/10/2013 14:06","0.58"
"08/10/2013 14:22","0.82"
"08/10/2013 14:38","0.66"
"08/10/2013 14:54","0.58"
"08/10/2013 15:10","0.66"
