"Time","Node 5 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/10/2013 10:17","-0.46"
"08/10/2013 10:33","-0.46"
"08/10/2013 10:49","-0.46"
"08/10/2013 11:06","-0.46"
"08/10/2013 11:22","-0.54"
"08/10/2013 11:38","-0.46"
"08/10/2013 11:54","-0.46"
"08/10/2013 12:10","-0.38"
"08/10/2013 12:26","-0.38"
"08/10/2013 12:42","-0.38"
"08/10/2013 12:59","-0.38"
"08/10/2013 13:15","-0.46"
"08/10/2013 13:31","-0.46"
"08/10/2013 13:47","-0.46"
"08/10/2013 14:03","-0.38"
"08/10/2013 14:19","-0.46"
"08/10/2013 14:35","-0.46"
"08/10/2013 14:52","-0.54"
"08/10/2013 15:08","-0.22"
