Time,Node 2 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)
07/31/2013 10:34,3.61
07/31/2013 10:50,3.61
07/31/2013 11:07,3.61
07/31/2013 11:39,3.52
07/31/2013 11:55,3.61
07/31/2013 12:11,3.61
07/31/2013 12:43,3.61
07/31/2013 13:00,3.61
07/31/2013 13:16,3.61
07/31/2013 13:32,3.61
07/31/2013 13:48,3.61
07/31/2013 17:02,3.7
07/31/2013 17:18,3.7
07/31/2013 17:34,3.7
07/31/2013 17:50,3.7
07/31/2013 18:06,3.7
07/31/2013 18:22,3.7
07/31/2013 18:39,3.7
07/31/2013 18:55,3.7
07/31/2013 19:11,4.05
07/31/2013 19:27,3.78
07/31/2013 19:43,3.78
,3.670
