"Time","Node 2 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/06/2013 10:16","5.76"
"08/06/2013 10:32","5.76"
"08/06/2013 10:48","5.76"
"08/06/2013 11:04","5.76"
"08/06/2013 11:20","5.85"
"08/06/2013 11:37","5.85"
"08/06/2013 11:53","5.85"
"08/06/2013 12:09","5.85"
"08/06/2013 12:25","5.76"
"08/06/2013 12:41","5.76"
"08/06/2013 15:39","5.76"
"08/06/2013 15:55","5.76"
"08/06/2013 16:11","5.76"
"08/06/2013 16:27","5.67"
"08/06/2013 16:43","5.76"
"08/06/2013 17:00","5.67"
"08/06/2013 17:16","5.67"
"08/06/2013 17:32","5.67"
"08/06/2013 17:48","5.67"
"08/06/2013 18:04","5.67"
"08/06/2013 18:20","5.67"
"08/06/2013 18:36","5.58"
"08/06/2013 18:52","5.58"
