"Time","Node 2 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/03/2013 12:18","1.23"
"08/03/2013 12:34","1.40"
"08/03/2013 12:50","1.32"
"08/03/2013 13:07","1.23"
"08/03/2013 13:23","1.23"
"08/03/2013 13:39","1.07"
"08/03/2013 13:55","1.07"
"08/03/2013 14:11","1.07"
"08/03/2013 14:27","0.99"
"08/03/2013 14:43","0.99"
"08/03/2013 15:00","1.40"
"08/03/2013 15:16","1.07"
"08/03/2013 16:53","1.07"
"08/03/2013 17:09","0.99"
"08/03/2013 17:25","0.91"
"08/03/2013 17:41","0.91"
"08/03/2013 17:57","0.82"
"08/03/2013 18:13","0.74"
"08/03/2013 18:29","0.91"
"08/03/2013 18:46","0.74"
"08/03/2013 19:02","0.74"
"08/03/2013 19:18","0.66"
"08/03/2013 19:34","0.74"
"08/03/2013 19:50","0.91"
