"Time","Node 3 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/13/2013 10:01","0.02"
"08/13/2013 10:18","-0.14"
"08/13/2013 10:34","-0.06"
"08/13/2013 10:50","-0.22"
"08/13/2013 11:06","-0.30"
"08/13/2013 11:22","-0.30"
"08/13/2013 11:38","-0.22"
"08/13/2013 11:54","-0.30"
"08/13/2013 12:11","0.02"
"08/13/2013 12:27","-0.38"
"08/13/2013 12:43","-0.30"
"08/13/2013 12:59","-0.14"
"08/13/2013 16:45","-0.30"
"08/13/2013 17:01","-0.30"
"08/13/2013 17:17","-0.30"
"08/13/2013 17:33","0.26"
"08/13/2013 17:50","-0.14"
"08/13/2013 18:06","-0.22"
"08/13/2013 18:22","-0.30"
"08/13/2013 18:38","-0.30"
"08/13/2013 18:54","-0.38"
"08/13/2013 19:10","-0.30"
"08/13/2013 19:26","-0.30"
"08/13/2013 19:43","-0.30"
"08/13/2013 19:59","-0.30"
"08/13/2013 20:15","-0.30"
"08/13/2013 20:47","-0.30"
