"Time","Node 2 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/07/2013 10:13","1.48"
"08/07/2013 10:29","1.40"
"08/07/2013 10:45","1.40"
"08/07/2013 11:01","1.48"
"08/07/2013 11:17","1.40"
"08/07/2013 11:33","1.40"
"08/07/2013 11:50","1.23"
"08/07/2013 12:06","1.07"
"08/07/2013 12:22","1.07"
"08/07/2013 12:38","1.23"
"08/07/2013 12:54","1.23"
"08/07/2013 13:10","2.23"
"08/07/2013 13:26","2.66"
"08/07/2013 13:43","1.65"
"08/07/2013 13:59","1.40"
"08/07/2013 18:33","1.40"
"08/07/2013 18:49","1.40"
"08/07/2013 19:06","1.48"
"08/07/2013 19:22","1.40"
