"Time","Node 3 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/14/2013 10:23","1.32"
"08/14/2013 10:31","1.40"
"08/14/2013 10:47","1.48"
"08/14/2013 11:03","1.23"
"08/14/2013 11:19","1.65"
"08/14/2013 11:35","1.73"
"08/14/2013 11:51","2.15"
"08/14/2013 12:07","2.07"
"08/14/2013 12:24","2.15"
"08/14/2013 12:40","1.73"
"08/14/2013 12:56","2.49"
"08/14/2013 13:12","2.49"
"08/14/2013 13:28","3.00"
"08/14/2013 13:44","2.83"
"08/14/2013 14:00","2.57"
"08/14/2013 16:26","3.26"
"08/14/2013 16:42","3.09"
"08/14/2013 16:58","3.17"
"08/14/2013 17:14","3.26"
"08/14/2013 17:30","3.35"
"08/14/2013 17:47","3.35"
"08/14/2013 18:03","3.43"
"08/14/2013 18:19","3.43"
"08/14/2013 18:35","3.35"
"08/14/2013 18:51","3.35"
"08/14/2013 19:07","3.43"
"08/14/2013 19:23","3.43"
"08/14/2013 19:40","3.43"
"08/14/2013 19:56","3.43"
"08/14/2013 20:12","2.07"
"08/14/2013 20:28","3.35"
"08/14/2013 20:44","3.43"
"08/14/2013 21:00","3.43"
