"Time","Node 4 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/09/2013 11:49","2.23"
"08/09/2013 12:05","2.40"
"08/09/2013 12:21","2.32"
"08/09/2013 12:37","2.49"
"08/09/2013 12:53","2.32"
"08/09/2013 13:10","2.15"
"08/09/2013 16:39","2.66"
"08/09/2013 16:56","2.40"
"08/09/2013 17:12","2.40"
"08/09/2013 17:28","2.40"
"08/09/2013 17:44","2.40"
"08/09/2013 18:00","2.40"
"08/09/2013 18:16","2.40"
"08/09/2013 18:32","2.49"
"08/09/2013 18:49","2.40"
"08/09/2013 19:05","2.74"
"08/09/2013 19:21","2.57"
"08/09/2013 19:37","2.57"
"08/09/2013 19:53","2.57"
"08/09/2013 20:09","2.57"
"08/09/2013 20:25","2.57"
"08/09/2013 20:42","2.57"
