"Time","Node 2 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/23/2013 00:47","6.59"
"08/23/2013 01:03","6.59"
"08/23/2013 01:19","6.59"
"08/23/2013 01:35","6.59"
"08/23/2013 09:56","6.59"
"08/23/2013 10:12","6.59"
"08/23/2013 10:28","6.59"
"08/23/2013 10:44","6.59"
"08/23/2013 11:00","6.59"
"08/23/2013 11:17","6.69"
"08/23/2013 11:33","6.69"
"08/23/2013 11:49","6.69"
"08/23/2013 12:05","6.88"
"08/23/2013 15:51","7.16"
"08/23/2013 16:07","7.16"
"08/23/2013 16:23","7.16"
"08/23/2013 16:39","7.16"
"08/23/2013 16:56","7.16"
"08/23/2013 17:12","7.16"
"08/23/2013 17:28","7.16"
