"Time","Node 2 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/30/2013 09:34","0.82"
"08/30/2013 09:50","0.82"
"08/30/2013 10:06","0.74"
"08/30/2013 10:23","0.74"
"08/30/2013 10:39","0.74"
"08/30/2013 10:55","0.74"
"08/30/2013 11:11","0.82"
"08/30/2013 11:27","0.74"
"08/30/2013 11:43","0.66"
"08/30/2013 12:00","0.66"
"08/30/2013 12:16","0.66"
"08/30/2013 12:32","0.66"
"08/30/2013 12:48","0.66"
"08/30/2013 13:04","0.58"
"08/30/2013 16:34","0.42"
"08/30/2013 16:50","0.58"
"08/30/2013 17:06","0.58"
"08/30/2013 17:22","0.42"
"08/30/2013 17:39","0.50"
"08/30/2013 17:55","0.50"
"08/30/2013 18:11","0.50"
"08/30/2013 18:27","0.58"
"08/30/2013 18:43","0.34"
"08/30/2013 18:59","0.34"
"08/30/2013 19:15","0.42"
"08/30/2013 19:32","0.58"
"08/30/2013 19:48","0.58"
"08/30/2013 20:04","0.58"
"08/30/2013 20:20","0.58"
